Potencia,Material,Espesor (mm),Velocidad (m/min),Presión de aire (MPa),Gas,Enfoque de corte
1000W,Acero carbono,1.0,15–18,1,O2,1.0
1000W,Acero carbono,2.0,5.1–6,0.5–0.8,O2,1.0
1000W,Acero carbono,3.0,3.5–4.2,0.25–0.4,O2,1.0
1000W,Acero carbono,4.0,2.3–2.7,0.15–0.2,O2,1.0
1000W,Acero carbono,5.0,1.7–2.1,0.15–0.2,O2,1.0
1000W,Acero carbono,6.0,1.2–1.8,0.10–0.15,O2,1.0
1000W,Acero carbono,8.0,0.9–1.1,0.10–0.15,O2,1.0
1000W,Acero carbono,10.0,0.6–0.72,0.10–0.15,O2,1.0
1000W,Acero inoxidable,0.5,>24,1,N2,0.6
1000W,Acero inoxidable,1.0,17–21,>1.1,N2,0.6
1000W,Acero inoxidable,2.0,5.4–7.2,>1.5,N2,0.6
1000W,Acero inoxidable,3.0,2.1–3,>2.0,N2,0.6
1000W,Acero inoxidable,4.0,0.8–1.5,>2.0,N2,0.6
1000W,Acero inoxidable,5.0,0.6–0.9,>2.0,N2,0.6
1200W,Acero inoxidable,1.0,24,1,N2,0.6
1200W,Acero inoxidable,2.0,6,>1.1,N2,0.6
1200W,Acero inoxidable,3.0,2.8,>1.5,N2,0.6
1200W,Acero inoxidable,4.0,1.8,>2.0,N2,0.6
1200W,Acero inoxidable,5.0,0.8,>2.0,N2,0.6
1200W,Acero carbono,1.0,18,1,O2,1.0
1200W,Acero carbono,2.0,6.6,0.5–0.8,O2,1.0
1200W,Acero carbono,3.0,4.5,0.25–0.4,O2,1.0
1200W,Acero carbono,4.0,2,0.15–0.2,O2,1.0
1200W,Acero carbono,5.0,2,0.15–0.2,O2,1.0
1200W,Acero carbono,6.0,1.8,0.10–0.15,O2,1.0
1200W,Acero carbono,8.0,1.3,0.10–0.15,O2,1.0
1200W,Acero carbono,10.0,0.9,0.10–0.15,O2,1.0
1200W,Acero carbono,12.0,0.6,0.10–0.16,O2,1.0
1200W,Aluminio,2.0,6.6,>1.5,N2,0.6
1200W,Aluminio,3.0,1.8,>1.5,N2,0.6